UID,ApplicationDate,Amount,Term,EmploymentType,LoanPurpose,Success
4954198,04/07/2020,5000,48,Employed - full time,Car,0
4954410,04/07/2020,12000,36,Employed - full time,Car,0
4962082,04/07/2020,6500,48,Employed - full time,New car,0
4967867,05/07/2020,3000,48,Employed - part time,Car,0
4970702,05/07/2020,5500,48,Employed - full time,Car,1
4976663,05/07/2020,15000,48,Employed - full time,car loan,0
4981012,05/07/2020,18000,36,Retired,Car,0
4982887,05/07/2020,5000,48,Employed - part time,Car,0
4984569,05/07/2020,4500,24,Employed - full time,New work van,0
4985657,05/07/2020,20000,60,Employed - full time,car repairs,0
4992229,06/07/2020,14000,48,Employed - full time,Car,0
4998967,06/07/2020,10000,60,Employed - full time,car,0
5001160,06/07/2020,6500,48,Employed - full time,Car,0
5003511,06/07/2020,5000,36,Employed - full time,Car,0
5006303,06/07/2020,1000,12,Employed - full time,Car,0
5010766,06/07/2020,20000,48,Employed - part time,New caravan,0
5026662,07/07/2020,18000,60,Employed - full time,New car,0
5036514,07/07/2020,20000,60,Employed - full time,new car for work,0
5046033,07/07/2020,10000,48,Employed - full time,car,0
5050957,07/07/2020,3000,36,Employed - full time,New car,0
5060432,08/07/2020,8500,42,Employed - full time,Car repair,1
5065552,08/07/2020,4000,48,Employed - full time,car repair,0
5080157,08/07/2020,6500,48,Employed - full time,car,0
5081656,08/07/2020,20000,60,Employed - full time,New car,0
5084079,08/07/2020,10000,36,Employed - part time,car,0
5088772,08/07/2020,15000,48,Employed - full time,Car,0
5089149,08/07/2020,10000,60,Employed - full time,Car Repairs,0
5090140,08/07/2020,5000,36,Employed - full time,Car,0
5092057,08/07/2020,12000,48,Employed - full time,Motorbike,0
5096194,09/07/2020,6500,48,Employed - full time,car repair,0
5100283,09/07/2020,3000,36,Employed - full time,Car,0
5101122,09/07/2020,14398,60,Employed - full time,Car,0
5107808,09/07/2020,7500,24,Employed - full time,Car,0
5111791,09/07/2020,17000,48,Employed - full time,Car,0
5114780,09/07/2020,4000,48,Employed - full time,New car,1
5124979,10/07/2020,6500,48,Employed - full time,Car repairs,0
5132372,10/07/2020,10000,60,Employed - full time,Car,0
5132678,10/07/2020,10000,54,Retired,to purchase a new car,0
5132752,10/07/2020,10000,24,Employed - full time,a car,0
5133089,10/07/2020,10000,42,Employed - full time,Car,0
5134939,10/07/2020,11000,48,Employed - full time,car,0
5136304,10/07/2020,8000,36,Employed - full time,Car,0
5136313,10/07/2020,5000,36,Employed - full time,Car purchase,1
5138300,10/07/2020,10000,60,Employed - full time,Car,0
5139036,10/07/2020,10000,60,Employed - full time,New car,0
5142211,10/07/2020,6500,48,Employed - full time,car,0
5147895,11/07/2020,6500,48,Retired,Car,0
5153332,11/07/2020,6000,60,Employed - full time,Buy a car,0
5156304,11/07/2020,15000,36,Employed - full time,car,0
5163400,11/07/2020,9000,36,Employed - part time,New car,0
5168181,12/07/2020,13000,60,Employed - full time,Car,0
5173521,12/07/2020,7000,24,Employed - full time,Car,1
5186791,13/07/2020,6500,48,Employed - full time,Car,0
5188537,13/07/2020,6500,48,Employed - full time,car,0
5192829,13/07/2020,12000,54,Employed - full time,Car bill,0
5193500,13/07/2020,6500,48,Employed - full time,Car repairs,0
5197862,13/07/2020,6500,48,Employed - full time,Car,1
5209403,13/07/2020,6500,48,Employed - full time,Buy new car,0
5211594,14/07/2020,6500,48,Employed - full time,car,0
5214693,14/07/2020,6500,48,Employed - full time,car repairs,1
5217531,14/07/2020,2000,24,Employed - full time,car repair,0
5230299,14/07/2020,6500,48,Employed - full time,Car,0
5232971,14/07/2020,7500,36,Employed - full time,Car,0
5237770,14/07/2020,20000,48,Employed - full time,Car,0
5250867,15/07/2020,6500,48,Employed - full time,A Car,0
5261779,15/07/2020,1100,12,Employed - full time,car,0
5264066,15/07/2020,10000,36,Employed - full time,Car,0
5266470,15/07/2020,15000,48,Employed - full time,Car repairs,1
5269751,15/07/2020,12000,48,Employed - full time,Car,0
5270624,16/07/2020,7500,48,Employed - full time,Car,1
5274956,16/07/2020,20000,60,Employed - full time,a car,0
5279907,16/07/2020,6500,48,Employed - full time,Car,0
5285177,16/07/2020,10000,60,Employed - full time,Car,0
5285208,16/07/2020,20000,60,Employed - full time,Car,0
5285598,16/07/2020,4000,36,Employed - full time,car,1
5289841,16/07/2020,5000,60,Employed - full time,Used vehicle,0
5292637,16/07/2020,10000,36,Employed - full time,Car,0
5299970,16/07/2020,6500,48,Employed - full time,Car,0
5307174,17/07/2020,13500,60,Employed - full time,car bills,1
5307787,17/07/2020,3500,48,Employed - full time,car loans,0
5310487,17/07/2020,18000,60,Employed - full time,New car,0
5313554,17/07/2020,7000,60,Employed - full time,Car,0
5314285,17/07/2020,6500,48,Employed - full time,Car,0
5320019,17/07/2020,10000,36,Employed - part time,car,0
5320574,17/07/2020,15000,48,Employed - full time,Car,0
5320874,17/07/2020,5000,48,Employed - full time,car bills,0
5323248,17/07/2020,9000,60,Employed - full time,Repairing my motorbike,0
5324158,17/07/2020,6000,24,Employed - full time,car,0
5328371,17/07/2020,2000,36,Employed - full time,Sort car out,0
5331521,18/07/2020,6500,48,Employed - full time,Car,0
5334518,18/07/2020,7500,60,Employed - full time,new car,0
5341421,18/07/2020,20000,60,Employed - full time,vehicle,0
5342106,18/07/2020,5000,30,Employed - full time,Car,0
5345892,18/07/2020,6500,48,Employed - full time,Cancer Treatment,0
5346635,18/07/2020,6500,48,Employed - full time,car,0
5346720,18/07/2020,10000,60,Employed - full time,New car,0
5351464,18/07/2020,5000,48,Employed - full time,Car,0
5352824,18/07/2020,6500,48,Employed - full time,Car,0
5354324,18/07/2020,10000,60,Employed - part time,Car Purchase,0
5357559,19/07/2020,6500,48,Employed - full time,new car,0
5358986,19/07/2020,6500,48,Employed - full time,Car,0
5361303,19/07/2020,14000,60,Employed - full time,vehicle,0
5362316,19/07/2020,6500,48,Employed - full time,Car repairs,0
5363436,19/07/2020,11800,48,Employed - full time,Car,0
5364726,19/07/2020,16000,48,Employed - full time,Car,0
5365121,19/07/2020,6500,48,Employed - full time,Car,0
5365385,19/07/2020,3000,24,Employed - full time,Car,0
5367187,19/07/2020,15000,60,Employed - full time,purchase of a car,1
5367212,19/07/2020,15000,60,Employed - full time,car loan,0
5372145,19/07/2020,12000,60,Employed - full time,car,0
5374303,19/07/2020,4000,48,Employed - full time,Car,1
5379709,20/07/2020,8200,60,Employed - full time,Car,0
5382254,20/07/2020,14500,60,Employed - full time,Car,0
5383221,20/07/2020,5000,36,Employed - full time,car,0
5391486,20/07/2020,12000,36,Employed - full time,car repairs,0
5392371,20/07/2020,8325,48,Employed - full time,car repair,0
5401699,20/07/2020,16000,48,Employed - full time,Caravan,0
5402565,20/07/2020,4000,36,Employed - full time,Car,0
5405810,20/07/2020,2500,36,Employed - full time,Car loan,0
5411367,20/07/2020,9000,48,Employed - full time,Car,0
5412554,20/07/2020,18000,48,Employed - full time,Car,0
5416559,20/07/2020,9000,48,Employed - full time,To buy a car,0
5424411,21/07/2020,10000,60,Employed - full time,Car purchase,0
5433398,21/07/2020,6500,48,Employed - full time,Car,0
5440757,21/07/2020,12000,48,Employed - full time,Car,0
5443749,21/07/2020,5000,36,Employed - full time,Car,0
5449202,22/07/2020,9000,48,Employed - full time,Car,0
5449723,22/07/2020,10000,54,Employed - full time,van,0
5450251,22/07/2020,10000,48,Retired,Car,1
5450311,22/07/2020,10000,60,Employed - full time,car,0
5454143,22/07/2020,6500,48,Employed - full time,Vehicle,0
5457092,22/07/2020,9000,60,Employed - full time,Car,1
5459896,22/07/2020,15000,48,Employed - full time,Car,0
5465493,22/07/2020,6500,48,Employed - full time,Car,0
5466271,22/07/2020,15000,36,Employed - full time,Car repair,0
5477755,22/07/2020,15000,48,Employed - full time,Car,0
5479735,23/07/2020,6500,48,Employed - full time,Car,0
5483059,23/07/2020,8000,24,Employed - full time,Car Repairs,0
5488319,23/07/2020,6500,48,Employed - full time,Car repairs,0
5488877,23/07/2020,12000,24,Employed - full time,car,0
5498252,23/07/2020,6500,48,Employed - full time,car,0
5499831,23/07/2020,10000,36,Employed - full time,Car bills,0
5501471,23/07/2020,6500,48,Employed - full time,Car,0
5506556,23/07/2020,6500,48,Employed - full time,car,0
5511887,24/07/2020,6500,48,Employed - full time,Car,0
5514138,24/07/2020,6500,60,Employed - full time,Car,0
5516564,24/07/2020,2000,24,Employed - full time,new car,0
5517277,24/07/2020,1000,12,Employed - full time,car payment,0
5520552,24/07/2020,6500,48,Employed - full time,Car repair,0
5520769,24/07/2020,6500,48,Employed - full time,Car purchase,0
5524827,24/07/2020,12000,60,Employed - full time,Car,0
5529017,24/07/2020,6500,48,Employed - full time,car loan,0
5532802,24/07/2020,4000,36,Employed - full time,Car repairs,0
5532934,24/07/2020,3000,24,Employed - full time,Car,0
5536872,25/07/2020,6500,48,Employed - full time,car purchsse,0
5540583,25/07/2020,10000,60,Employed - full time,rent arrears and school uniform,0
5549124,25/07/2020,15000,60,Employed - full time,new car,0
5554978,25/07/2020,6500,48,Employed - full time,Van for work promotion,1
5555383,25/07/2020,6500,48,Employed - full time,Car impounded,0
5561926,26/07/2020,7999,48,Employed - full time,Car,0
5564479,26/07/2020,15000,60,Employed - full time,Car maintenance,0
5571223,26/07/2020,6500,48,Employed - full time,Car Purchase,0
5574462,26/07/2020,12000,60,Employed - full time,CAR,1
5575668,26/07/2020,8000,48,Employed - full time,Car repair,0
5576015,26/07/2020,13000,48,Employed - full time,Car,0
5576900,26/07/2020,15000,60,Employed - full time,Car loan,0
5577108,26/07/2020,20000,60,Employed - full time,buying first vehicle,0
5579811,27/07/2020,15000,48,Employed - full time,Car repair,0
5580919,27/07/2020,6500,48,Employed - full time,Car,0
5582284,27/07/2020,10000,48,Employed - full time,New car,0
5597222,27/07/2020,4500,60,Employed - part time,car,1
5599299,27/07/2020,5000,24,Employed - full time,Car,0
5602869,27/07/2020,2500,24,Employed - full time,Car,0
5605834,27/07/2020,2000,24,Employed - full time,car,0
5605980,27/07/2020,10000,54,Employed - full time,car,0
5606649,27/07/2020,6500,48,Employed - full time,Car,0
5626112,28/07/2020,14000,60,Employed - full time,Car purchase,0
5626226,28/07/2020,15000,48,Employed - full time,Car,0
5628583,28/07/2020,13000,60,Employed - full time,"Car, house improvements",0
5634271,28/07/2020,3000,48,Employed - full time,Car,0
5637215,28/07/2020,6500,48,Employed - full time,Car,0
5646596,28/07/2020,7000,60,Employed - full time,To repair my car,0
5655330,29/07/2020,15000,36,Employed - full time,Second car,0
5667416,29/07/2020,15000,60,Employed - full time,New car,0
5668656,29/07/2020,15000,60,Employed - full time,Car repairs,0
5668659,29/07/2020,1000,36,Employed - full time,Car bills,1
5669003,29/07/2020,4000,24,Employed - full time,New car,0
5672040,29/07/2020,10500,48,Employed - full time,Car,0
5678296,30/07/2020,15000,60,Employed - full time,Car bills,0
5679101,30/07/2020,6875,60,Employed - full time,Car repairs,1
5683855,30/07/2020,6500,48,Employed - full time,Driver cpc,0
5689992,30/07/2020,6500,48,Employed - full time,Car,1
5694602,30/07/2020,11000,60,Employed - full time,Car,0
5698256,30/07/2020,14000,48,Employed - full time,Car,1
5699214,30/07/2020,6500,48,Employed - full time,Car,0
5700283,31/07/2020,6500,48,Employed - full time,CAR,0
5700707,31/07/2020,6500,48,Employed - full time,Tax bill. New car,0
5701981,31/07/2020,20000,60,Employed - full time,Car,0
5710853,31/07/2020,12000,36,Employed - full time,Car,0
5715755,31/07/2020,6500,48,Employed - full time,Car,0
5731773,01/08/2020,6500,48,Employed - full time,Help with car,0
5733018,01/08/2020,6500,48,Employed - full time,car,0
5734166,01/08/2020,1500,24,Employed - part time,Car,0
5735621,01/08/2020,6500,48,Employed - full time,Car,0
5738277,01/08/2020,5000,36,Employed - full time,Car,0
5738895,01/08/2020,15000,60,Employed - full time,Car,0
5743082,02/08/2020,10000,60,Employed - full time,Car,0
5743586,02/08/2020,6500,48,Employed - part time,CAR REPAIRS,0
5743791,02/08/2020,6500,48,Employed - full time,Car,0
5744212,02/08/2020,6000,24,Employed - full time,Car,0
5751732,02/08/2020,5000,60,Employed - full time,Car negative equity,0
5754177,02/08/2020,3000,48,Employed - full time,Car repair,1
5755223,02/08/2020,10000,24,Employed - full time,Car,0
5761244,03/08/2020,15000,60,Employed - full time,buy a car,0
5762330,03/08/2020,14000,60,Employed - full time,Car,0
5764534,03/08/2020,5000,60,Employed - full time,Car repairs,1
5767593,03/08/2020,9000,36,Employed - part time,Caravan,0
5770624,03/08/2020,6500,48,Employed - part time,Car,0
5770815,03/08/2020,6000,36,Employed - full time,car and home improvements,0
5773389,03/08/2020,6500,48,Employed - part time,Car,0
5773450,03/08/2020,6000,24,Employed - full time,Van,0
5783695,03/08/2020,5500,36,Employed - full time,new car,0
5783698,03/08/2020,6500,48,Employed - full time,New Car,0
5785419,03/08/2020,3700,48,Employed - full time,Car,0
5785869,03/08/2020,8000,54,Employed - full time,Car,0
5788220,03/08/2020,6500,48,Employed - full time,CAR,1
5789064,03/08/2020,5000,36,Employed - full time,Car bills,0
5790669,03/08/2020,6500,48,Employed - full time,Car,0
5791147,03/08/2020,6500,48,Employed - full time,Car,0
5793491,04/08/2020,6500,48,Employed - full time,Car,1
5793701,04/08/2020,6500,48,Employed - full time,new car,0
5802066,04/08/2020,20000,60,Employed - full time,Car,0
5804194,04/08/2020,5000,48,Employed - full time,car service,1
5808450,04/08/2020,20000,60,Employed - full time,Car,0
5810055,04/08/2020,1000,12,Employed - full time,Car,0
5810676,04/08/2020,20000,60,Employed - full time,A new car,0
5810712,04/08/2020,6500,48,Employed - full time,Car,0
5810995,04/08/2020,6500,48,Employed - full time,Car,0
5821313,04/08/2020,6500,48,Employed - full time,Car,0
5822527,04/08/2020,6500,48,Employed - full time,Car,1
5828003,04/08/2020,15000,36,Retired,Car,0
5829863,04/08/2020,6000,60,Employed - full time,car,0
5841759,05/08/2020,6500,48,Employed - full time,car bill,0
5844307,05/08/2020,10000,48,Employed - full time,Car,0
5844564,05/08/2020,20000,60,Employed - full time,Car,0
5845844,05/08/2020,6500,48,Employed - full time,car,0
5846118,05/08/2020,6500,48,Employed - full time,Car purchase,0
5846697,05/08/2020,15000,36,Employed - full time,car,0
5852337,05/08/2020,6500,48,Employed - full time,New van,0
5859466,05/08/2020,3000,12,Employed - full time,car insurance,0
5878441,06/08/2020,6500,48,Employed - full time,car,0
5880283,06/08/2020,12000,60,Employed - full time,Car,0
5882335,06/08/2020,5000,12,Employed - full time,Car,0
5882735,06/08/2020,5000,60,Employed - full time,CAR,0
5883215,06/08/2020,6000,60,Employed - full time,Car,1
5884640,06/08/2020,10000,36,Employed - full time,car,0
5887140,07/08/2020,6500,48,Employed - full time,car,0
5890044,07/08/2020,6500,48,Employed - full time,Car,0
5894835,07/08/2020,6000,36,Employed - full time,Driving and a car,0
5902294,07/08/2020,15000,60,Employed - full time,car,0
5907372,07/08/2020,6500,48,Employed - full time,Car,0
5908093,07/08/2020,6500,48,Employed - full time,Car,0
5908725,07/08/2020,5000,36,Employed - full time,New car,0
5916055,08/08/2020,6500,48,Employed - full time,Car,1
5924970,08/08/2020,6500,48,Employed - full time,car,1
5925739,08/08/2020,1000,12,Employed - full time,Car,0
5925863,08/08/2020,3000,24,Employed - full time,Car,0
5926557,08/08/2020,3000,36,Employed - full time,car,0
5931933,09/08/2020,6500,48,Employed - full time,Car bill,0
5934605,09/08/2020,8500,60,Employed - full time,Car and insurance,0
5938696,09/08/2020,6500,48,Employed - full time,Car,0
5939801,09/08/2020,10000,60,Employed - full time,car,0
5947302,09/08/2020,10000,48,Employed - full time,Car,0
5960135,10/08/2020,8000,48,Employed - full time,Van,1
5960484,10/08/2020,10000,60,Employed - full time,new car,0
5965356,10/08/2020,10000,60,Employed - full time,car purchase,0
5970323,10/08/2020,6500,48,Employed - full time,Car,0
5979351,10/08/2020,13000,60,Employed - full time,Car repairs,0
5979548,10/08/2020,15000,48,Employed - full time,Car,0
6003817,11/08/2020,6500,48,Employed - full time,Car,0
6013238,11/08/2020,5000,24,Employed - full time,Motorbike,0
6015147,11/08/2020,20000,60,Employed - full time,"Car, car insurance, holiday",0
6015329,11/08/2020,5000,36,Employed - full time,car,1
6018957,11/08/2020,6500,48,Employed - full time,car,1
6020078,11/08/2020,15000,60,Employed - full time,Van purchase,0
6034489,12/08/2020,13500,60,Employed - full time,car,0
6036271,12/08/2020,12000,60,Employed - full time,Car,0
6039791,12/08/2020,12000,60,Employed - full time,Car,0
6052384,13/08/2020,12000,48,Employed - full time,New car,0
6052857,13/08/2020,6500,48,Employed - full time,car,1
6053066,13/08/2020,6500,48,Employed - full time,Car repair,0
6054326,13/08/2020,10000,36,Employed - full time,A car,0
6055096,13/08/2020,20000,60,Employed - full time,Car,0
6056288,13/08/2020,6500,48,Employed - full time,car,1
6056977,13/08/2020,6500,48,Employed - full time,Car,0
6059812,13/08/2020,9000,36,Employed - part time,New Car,0
6061511,13/08/2020,6500,48,Employed - full time,House and car,0
6077957,14/08/2020,5000,36,Employed - full time,Car,0
6079657,14/08/2020,20000,60,Employed - full time,Car,0
6085631,14/08/2020,6000,36,Employed - full time,car,0
6091030,14/08/2020,10000,54,Employed - full time,car fixed,0
6099035,14/08/2020,5000,36,Employed - full time,Car,0
6104469,15/08/2020,6000,24,Employed - part time,New car,0
6107153,15/08/2020,10000,24,Employed - full time,Car,0
6109424,15/08/2020,6500,48,Employed - full time,Car service,0
6118819,15/08/2020,6500,48,Employed - full time,Buying new car,1
6130017,16/08/2020,1000,24,Employed - full time,Car,0
6134758,16/08/2020,7500,60,Employed - full time,Car,1
6137842,16/08/2020,6500,48,Employed - full time,Car repair,0
6143042,16/08/2020,3000,60,Employed - full time,van repairs/ maintenance,0
6143118,16/08/2020,14000,60,Employed - full time,Car,0
6144660,16/08/2020,20000,36,Employed - full time,Car Purchase,0
6148660,16/08/2020,11000,36,Employed - full time,Car,0
6153952,17/08/2020,10000,48,Employed - full time,Vehicle repair,0
6158210,17/08/2020,6500,48,Employed - full time,Car,0
6158548,17/08/2020,2000,60,Employed - full time,Car,0
6168122,17/08/2020,15000,36,Employed - full time,car,0
6171372,17/08/2020,3000,24,Employed - full time,Car,1
6177765,17/08/2020,8000,36,Employed - full time,Car repair,0
6179918,18/08/2020,15000,48,Employed - part time,car,0
6184613,18/08/2020,15000,60,Employed - full time,Car,0
6185074,18/08/2020,6500,48,Employed - full time,Car Purchase,0
6185421,18/08/2020,15000,60,Employed - full time,Car,0
6187470,18/08/2020,2000,36,Employed - full time,car,0
6188961,18/08/2020,20000,60,Employed - full time,Car repair,0
6192797,18/08/2020,6500,48,Employed - full time,Car,0
6195813,18/08/2020,6500,48,Employed - full time,car,0
6196733,18/08/2020,6500,48,Employed - full time,Work Van,0
6199968,18/08/2020,6500,48,Employed - full time,car,1
6205266,19/08/2020,10000,54,Employed - full time,Car,0
6206261,19/08/2020,13000,60,Employed - full time,Car Purchase,0
6210831,19/08/2020,5000,48,Employed - full time,car purchase,0
6214965,19/08/2020,10000,60,Employed - part time,car,0
6215345,19/08/2020,6500,48,Employed - full time,New car,0
6221131,19/08/2020,6500,48,Employed - full time,Car repairs,0
6226086,19/08/2020,6000,36,Employed - full time,Car,0
6235185,19/08/2020,10000,60,Employed - full time,caravan,0
6249878,20/08/2020,6500,48,Employed - full time,Caravan,0
6256865,20/08/2020,15000,48,Employed - full time,new car,0
6265777,20/08/2020,5000,60,Employed - full time,car,1
6267692,20/08/2020,10000,48,Employed - full time,Car,0
6271145,20/08/2020,4500,60,Employed - full time,Motorcycle,1
6275417,21/08/2020,14000,48,Employed - full time,Car Purchase,0
6285334,21/08/2020,6500,48,Employed - full time,CAR,0
6286140,21/08/2020,10000,60,Employed - full time,Car,0
6290346,21/08/2020,19000,36,Employed - part time,car,0
6297622,22/08/2020,9000,36,Employed - full time,Car,0
6312072,22/08/2020,6500,48,Employed - full time,Car Purchase,0
6312703,22/08/2020,5000,60,Employed - full time,Car,1
6313763,22/08/2020,12500,60,Employed - full time,Car,0
6317418,22/08/2020,6500,48,Employed - full time,New car,0
6320043,22/08/2020,4000,36,Employed - full time,Car,1
6320296,22/08/2020,6000,36,Employed - full time,car,0
6323604,23/08/2020,18000,48,Employed - full time,Car,0
6325293,23/08/2020,15000,36,Employed - full time,Car purchase,0
6328801,23/08/2020,3000,24,Employed - full time,Car Loan,1
6330691,23/08/2020,14000,48,Employed - full time,Motorbike,0
6339842,23/08/2020,7000,36,Employed - full time,new car,0
6341402,23/08/2020,5000,36,Employed - full time,car,0
6342264,23/08/2020,10000,48,Employed - full time,Vehicle purchase,0
6355290,24/08/2020,6500,48,Employed - full time,Car purchase,0
6360981,24/08/2020,3000,24,Employed - full time,Car repairs,1
6365325,24/08/2020,20000,60,Employed - full time,car,0
6368177,24/08/2020,12000,60,Employed - full time,Car/Vehicle Loan,0
6368310,24/08/2020,10000,60,Employed - full time,car,0
6373415,25/08/2020,4000,18,Employed - full time,car,1
6375344,25/08/2020,3000,24,Employed - full time,car loan,0
6379997,25/08/2020,10000,24,Self employed,Used car,1
6389566,25/08/2020,4500,48,Employed - full time,Car repairs,1
6397960,26/08/2020,4500,36,Employed - full time,Car,0
6399708,26/08/2020,8000,36,Employed - full time,Car,0
6403373,26/08/2020,1500,36,Employed - part time,Car,1
6407500,26/08/2020,20000,60,Employed - full time,Car,0
6414065,26/08/2020,5500,24,Employed - full time,Car,0
6425752,26/08/2020,10000,48,Employed - full time,a new car,0
6430532,26/08/2020,13500,60,Employed - full time,Car,0
6432254,26/08/2020,5000,36,Employed - full time,Car,0
6432992,26/08/2020,1500,12,Employed - full time,Car,0
6438340,27/08/2020,15000,36,Employed - full time,car,1
6439005,27/08/2020,6500,48,Employed - full time,Car,0
6441019,27/08/2020,6500,48,Employed - part time,motorcycle parts,0
6441868,27/08/2020,6500,48,Employed - full time,Motorcycle,0
6443953,27/08/2020,6500,48,Employed - full time,car,0
6443957,27/08/2020,1500,24,Employed - full time,caelr,0
6444386,27/08/2020,7600,60,Employed - full time,Garden work,0
6445474,27/08/2020,10000,36,Employed - full time,Buy car,0
6445960,27/08/2020,10000,60,Employed - full time,New car,0
6452428,27/08/2020,3000,48,Employed - full time,vehicle,0
6455488,27/08/2020,9000,48,Employed - full time,Car,0
6457531,27/08/2020,9000,48,Employed - full time,car purchase,0
6459924,27/08/2020,8000,24,Employed - part time,car,0
6460633,27/08/2020,12100,48,Employed - full time,Car bills,1
6465265,28/08/2020,6500,48,Employed - full time,car,0
6467747,28/08/2020,10000,48,Employed - full time,Car finance,0
6469703,28/08/2020,18000,60,Employed - full time,car,0
6470096,28/08/2020,6500,48,Employed - full time,Car,0
6472572,28/08/2020,5500,36,Employed - full time,car,1
6473637,28/08/2020,6500,48,Employed - full time,Car purchase,1
6475208,28/08/2020,5000,36,Employed - full time,"Car,credit car bills",0
6477630,28/08/2020,3000,48,Employed - full time,car,0
6477787,28/08/2020,6500,48,Employed - full time,Car,0
6480625,28/08/2020,15000,60,Employed - full time,car purchase,0
6483198,28/08/2020,8000,60,Employed - part time,buy new van,0
6487455,29/08/2020,9500,60,Employed - full time,Car finance agreement,0
6489484,29/08/2020,7500,48,Employed - full time,Car,1
6490021,29/08/2020,6500,48,Employed - full time,car,1
6490746,29/08/2020,6500,48,Employed - full time,Car,0
6493577,29/08/2020,8500,60,Employed - full time,Car,0
6499160,29/08/2020,10000,48,Employed - full time,car,0
6510858,30/08/2020,20000,48,Employed - full time,car bills,0
6513074,30/08/2020,6000,36,Employed - part time,Car maintenance,1
6519188,30/08/2020,6500,48,Employed - full time,car bills,0
6520725,30/08/2020,4000,36,Employed - full time,Buying a car,0
6521016,30/08/2020,20000,60,Employed - full time,car,0
6523808,30/08/2020,10000,54,Employed - full time,car,0
6525966,31/08/2020,4000,60,Self employed,Car,0
6526303,31/08/2020,20000,60,Employed - full time,Car,0
6534084,31/08/2020,20000,36,Self employed,car,0
6534853,31/08/2020,10000,48,Employed - full time,Caravan,0
6539923,31/08/2020,10000,36,Employed - full time,BUY A NEW CAR,1
6549256,01/09/2020,10000,36,Employed - full time,Car,0
6550426,01/09/2020,6500,48,Employed - full time,Car,0
6554328,01/09/2020,3200,36,Employed - full time,Car loan,0
6554575,01/09/2020,14000,48,Employed - full time,car,0
6557032,01/09/2020,15000,60,Employed - full time,Car,0
6575216,01/09/2020,13000,48,Employed - full time,car,0
6577314,02/09/2020,6500,48,Employed - full time,Car loan,0
6583781,02/09/2020,7000,36,Employed - full time,car /,0
6590558,02/09/2020,6500,48,Employed - part time,car,0
6592023,02/09/2020,6500,48,Employed - full time,car,0
6595956,02/09/2020,19500,60,Employed - full time,car,1
6597363,02/09/2020,1000,24,Employed - full time,Car,0
6599279,02/09/2020,4000,60,Employed - full time,car loan,0
6608076,02/09/2020,15000,48,Employed - full time,car loan,0
6609698,02/09/2020,1500,24,Employed - full time,Car,0
6612910,03/09/2020,10000,36,Employed - full time,car purchase,0
6614021,03/09/2020,6500,48,Employed - full time,Car,0
6622339,03/09/2020,6500,48,Employed - full time,car,0
6622999,03/09/2020,1000,12,Employed - full time,Car,0
6627976,03/09/2020,6500,48,Employed - full time,car,0
6628540,03/09/2020,6500,48,Employed - full time,Car,0
6630493,03/09/2020,9000,54,Employed - full time,car,0
6630825,03/09/2020,16000,48,Employed - full time,Car,0
6636721,03/09/2020,14000,60,Employed - full time,to buy a car,0
6641207,03/09/2020,15000,60,Employed - full time,car purchase,0
6642751,04/09/2020,15000,48,Employed - full time,car,0
6644960,04/09/2020,20000,60,Employed - full time,Car,0
6648417,04/09/2020,5000,36,Employed - full time,Car,0
6652355,04/09/2020,5000,60,Employed - full time,Car,0
6661905,04/09/2020,3000,24,Employed - full time,car,0
6663811,04/09/2020,5000,36,Employed - full time,Car,0
6664331,04/09/2020,4500,48,Employed - full time,car repair bills,1
6666110,04/09/2020,3000,36,Employed - full time,Car,1
6668875,04/09/2020,6500,48,Employed - full time,Car,0
6669489,04/09/2020,10000,12,Employed - full time,Car,0
6671046,04/09/2020,1000,18,Employed - part time,Car,0
6673240,04/09/2020,6500,48,Employed - full time,Car,0
6675150,04/09/2020,15000,48,Employed - full time,a car,0
6681811,04/09/2020,15000,36,Employed - full time,Car,0
6682005,04/09/2020,15000,60,Employed - full time,Car,0
6693437,05/09/2020,6500,48,Employed - full time,Car purchase,0
6693533,05/09/2020,4000,48,Employed - part time,Car,0
6694441,05/09/2020,6500,48,Employed - full time,Car,0
6701296,05/09/2020,10000,60,Self employed,Clear car Loan & New car,0
6703233,05/09/2020,2000,12,Employed - full time,Car,0
6703335,05/09/2020,5000,24,Employed - full time,car expenses,0
6705321,05/09/2020,8500,48,Employed - full time,Car repairs,0
6705752,05/09/2020,2000,36,Employed - full time,New car,0
6708907,05/09/2020,10000,60,Employed - full time,car ownership,0
6712663,06/09/2020,6500,48,Employed - full time,New van,0
6718011,06/09/2020,1000,12,Employed - full time,Car loan,0
6722236,06/09/2020,6500,48,Employed - full time,Car,0
6723967,06/09/2020,4000,24,Employed - full time,car,0
6724618,06/09/2020,6500,48,Employed - full time,vehicle purchase,1
6724970,06/09/2020,1000,24,Employed - full time,Pay car off,0
6725161,06/09/2020,17000,60,Employed - full time,Car Repairs,0
6726147,06/09/2020,20000,60,Employed - full time,Car,0
6731151,06/09/2020,2500,12,Employed - full time,car,0
6731989,06/09/2020,7500,48,Self employed,car,0
6732089,06/09/2020,6500,48,Employed - full time,New car,0
6736938,07/09/2020,6500,48,Employed - full time,New van,0
6739941,07/09/2020,6500,48,Employed - full time,Car,0
6742601,07/09/2020,6500,48,Employed - full time,Car,1
6747714,07/09/2020,4800,36,Employed - full time,Car,0
6752358,07/09/2020,8000,54,Employed - full time,Car,0
